name,activation,solver,hidden_layer_sizes,alpha,learning_rate_init,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_weighted_f1,mean_n_train_original,mean_n_train_augmented,std_macro_f1,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_weighted_f1
"relu_adam__hls-(128,64,32)__alpha-0.001__lr-0.0001",relu,adam,"(128, 64, 32)",0.001,0.0001,0.7748440479669677,0.7668664387750793,0.70599094245943,0.7787984427256178,6742.222222222223,9685.333333333334,0.08473449851379357,0.7819380355965722,0.7899041187602358,0.7802999267350715,0.77853921301466
"relu_adam__hls-(128,64)__alpha-1e-05__lr-0.0001",relu,adam,"(128, 64)",1e-05,0.0001,0.7734315683059287,0.7679284004547454,0.7040192102904353,0.7774157490589414,6742.222222222223,9685.333333333334,0.08394214824358685,0.7800922874093605,0.7928739648959863,0.7797055967269299,0.7767081199166922
"relu_adam__hls-(128,64)__alpha-0.001__lr-0.0001",relu,adam,"(128, 64)",0.001,0.0001,0.7732413095540261,0.7678550388448738,0.7038569962828436,0.7772232250455434,6742.222222222223,9685.333333333334,0.08379646246699164,0.7799604482531312,0.7929184992179867,0.7796285888027553,0.7765724904387934
"tanh_adam__hls-(128,64,32)__alpha-0.0001__lr-0.0005",tanh,adam,"(128, 64, 32)",0.0001,0.0005,0.7731282882619079,0.7672411013516762,0.7136639114548131,0.7775122444260594,6742.222222222223,9685.333333333334,0.09581890815383694,0.7832564271588662,0.7822337389151479,0.7794846252733671,0.7802819309035857
"relu_adam__hls-(128,64)__alpha-0.0001__lr-0.0001",relu,adam,"(128, 64)",0.0001,0.0001,0.7732413095540261,0.7685223602066397,0.7034682958456494,0.7770829671895267,6742.222222222223,9685.333333333334,0.08351069532723804,0.7799604482531312,0.79317154475938,0.7793812296343299,0.7764583272507343
"relu_adam__hls-(128,64)__alpha-0.001__lr-0.001",relu,adam,"(128, 64)",0.001,0.001,0.7725104928738571,0.7535060644961714,0.7034775272243796,0.7765472283804306,6742.222222222223,9685.333333333334,0.08440739261498567,0.7799604482531312,0.7799898876460177,0.7781841621662231,0.7776247310327685
"relu_adam__hls-(128,64,32)__alpha-0.0001__lr-0.0005",relu,adam,"(128, 64, 32)",0.0001,0.0005,0.7721237217100814,0.7630897257032171,0.7081327437121151,0.7762220426537902,6742.222222222223,9685.333333333334,0.09059682540145211,0.7812788398154252,0.7805434077391374,0.778061700272694,0.7781059735172385
"relu_adam__hls-(128,)__alpha-1e-05__lr-0.001",relu,adam,"(128,)",1e-05,0.001,0.7714088250059263,0.756338348558911,0.7021983556994672,0.7754458673169984,6742.222222222223,9685.333333333334,0.08369495844431102,0.7804878048780488,0.7847889830496221,0.7780415589592355,0.7776176075547205
"relu_adam__hls-(128,64)__alpha-0.0001__lr-0.001",relu,adam,"(128, 64)",0.0001,0.001,0.7731790443256251,0.7561385179878704,0.703722544125474,0.7766797990758965,6742.222222222223,9685.333333333334,0.08846002530389559,0.7806196440342782,0.7806714914413883,0.7779541725696998,0.7777460671281178
"tanh_adam__hls-(128,64,32)__alpha-1e-05__lr-0.0005",tanh,adam,"(128, 64, 32)",1e-05,0.0005,0.7722006444771213,0.7675101138713943,0.7129915203151155,0.7766400880039565,6742.222222222223,9685.333333333334,0.09546132125274105,0.7820698747528015,0.7801229076065639,0.777917957612353,0.7789967710479305
"relu_adam__hls-(128,64,32)__alpha-0.001__lr-0.0005",relu,adam,"(128, 64, 32)",0.001,0.0005,0.771396978631655,0.7615227546806443,0.7056662472934474,0.7754165034407995,6742.222222222223,9685.333333333334,0.08705395381395747,0.7799604482531312,0.7825153403584792,0.7778876374313858,0.7770138271186179
"tanh_adam__hls-(128,64,32)__alpha-0.001__lr-0.0005",tanh,adam,"(128, 64, 32)",0.001,0.0005,0.7717807381439136,0.7704370262387658,0.7125923763410024,0.7762325752961066,6742.222222222223,9685.333333333334,0.09561985107495588,0.7818061964403428,0.7807117737736112,0.7778174375426478,0.7786742073723011
"relu_adam__hls-(128,)__alpha-0.001__lr-0.001",relu,adam,"(128,)",0.001,0.001,0.7720833432118136,0.7577805788746875,0.7019188340996485,0.7760437010111524,6742.222222222223,9685.333333333334,0.08352388159230667,0.7800922874093605,0.7874007001203416,0.7776154718227409,0.7766722662245127
"relu_adam__hls-(128,64,32)__alpha-1e-05__lr-0.0005",relu,adam,"(128, 64, 32)",1e-05,0.0005,0.7727047367089317,0.7605420143792195,0.7046886851330515,0.7766969428208723,6742.222222222223,9685.333333333334,0.0842793843708818,0.7796967699406724,0.7828113770344548,0.7775095291194856,0.776664480294744
"relu_adam__hls-(128,64,32)__alpha-0.0001__lr-0.0001",relu,adam,"(128, 64, 32)",0.0001,0.0001,0.7734824246102486,0.7695132372404139,0.7061570067465526,0.7777068080298182,6742.222222222223,9685.333333333334,0.08433012523663594,0.779564930784443,0.7852798818122059,0.7773498144470177,0.7765191854799707
"relu_adam__hls-(128,64)__alpha-0.001__lr-0.0005",relu,adam,"(128, 64)",0.001,0.0005,0.7728827629888464,0.752778584387171,0.7014322139620134,0.7776810455589701,6742.222222222223,9685.333333333334,0.09227930370646256,0.7804878048780488,0.7843622455666959,0.7772428321933059,0.7771084658726523
"relu_adam__hls-(128,64)__alpha-1e-05__lr-0.001",relu,adam,"(128, 64)",1e-05,0.001,0.7721182729490899,0.7592017781170246,0.7016087217346185,0.7758310414656465,6742.222222222223,9685.333333333334,0.08891619179714906,0.7807514831905076,0.7799610937367368,0.7770841452247723,0.7775808037391007
"relu_adam__hls-(128,64)__alpha-1e-05__lr-0.0005",relu,adam,"(128, 64)",1e-05,0.0005,0.7725336343328594,0.7558759277197927,0.7008277971285157,0.7769986334991537,6742.222222222223,9685.333333333334,0.08894412717188287,0.7799604482531312,0.7882087372668438,0.7770133349708336,0.7760970852876333
